LAST SEEN   TYPE      REASON                         OBJECT                                       MESSAGE
7m31s       Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 0 to 1
7m31s       Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-k7cx4
7m31s       Normal    Scheduled                      pod/115029258-burn-756969954-k7cx4           Successfully assigned 115029258-hpa/115029258-burn-756969954-k7cx4 to 115029258-hpa-worker
7m30s       Normal    Pulling                        pod/115029258-burn-756969954-k7cx4           Pulling image "icstyoningrum/115029258-burn:v1"
7m28s       Normal    Pulled                         pod/115029258-burn-756969954-k7cx4           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 2.174s (2.174s including waiting). Image size: 7942693 bytes.
7m28s       Normal    Created                        pod/115029258-burn-756969954-k7cx4           Container created
7m28s       Normal    Started                        pod/115029258-burn-756969954-k7cx4           Container started
7m7s        Warning   FailedGetResourceMetric        horizontalpodautoscaler/115029258-burn-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
7m7s        Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/115029258-burn-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
5m47s       Normal    Scheduled                      pod/curl-test                                Successfully assigned 115029258-hpa/curl-test to 115029258-hpa-worker2
5m47s       Normal    Pulling                        pod/curl-test                                Pulling image "busybox:1.36"
5m45s       Normal    Pulled                         pod/curl-test                                Successfully pulled image "busybox:1.36" in 1.793s (1.793s including waiting). Image size: 2217006 bytes.
5m45s       Normal    Created                        pod/curl-test                                Container created
5m45s       Normal    Started                        pod/curl-test                                Container started
5m21s       Normal    Scheduled                      pod/health-test                              Successfully assigned 115029258-hpa/health-test to 115029258-hpa-worker2
5m21s       Normal    Pulled                         pod/health-test                              Container image "busybox:1.36" already present on machine and can be accessed by the pod
5m21s       Normal    Created                        pod/health-test                              Container created
5m20s       Normal    Started                        pod/health-test                              Container started
2m44s       Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-7zm5f
2m44s       Normal    Scheduled                      pod/115029258-load-267f4                     Successfully assigned 115029258-hpa/115029258-load-267f4 to 115029258-hpa-worker
2m44s       Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-xknpm
2m44s       Normal    Scheduled                      pod/115029258-load-7zm5f                     Successfully assigned 115029258-hpa/115029258-load-7zm5f to 115029258-hpa-worker2
2m44s       Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-267f4
2m44s       Normal    Scheduled                      pod/115029258-load-xknpm                     Successfully assigned 115029258-hpa/115029258-load-xknpm to 115029258-hpa-worker2
2m43s       Normal    Pulling                        pod/115029258-load-7zm5f                     Pulling image "busybox"
2m43s       Normal    Pulling                        pod/115029258-load-xknpm                     Pulling image "busybox"
2m43s       Normal    Pulling                        pod/115029258-load-267f4                     Pulling image "busybox"
2m41s       Normal    Created                        pod/115029258-load-7zm5f                     Container created
2m41s       Normal    Pulled                         pod/115029258-load-7zm5f                     Successfully pulled image "busybox" in 377ms (1.964s including waiting). Image size: 2236931 bytes.
2m41s       Normal    Started                        pod/115029258-load-xknpm                     Container started
2m41s       Normal    Pulled                         pod/115029258-load-xknpm                     Successfully pulled image "busybox" in 1.626s (1.626s including waiting). Image size: 2236931 bytes.
2m41s       Normal    Started                        pod/115029258-load-267f4                     Container started
2m41s       Normal    Created                        pod/115029258-load-267f4                     Container created
2m41s       Normal    Created                        pod/115029258-load-xknpm                     Container created
2m41s       Normal    Pulled                         pod/115029258-load-267f4                     Successfully pulled image "busybox" in 1.607s (1.607s including waiting). Image size: 2236931 bytes.
2m40s       Normal    Started                        pod/115029258-load-7zm5f                     Container started
2m7s        Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-pstqq
2m7s        Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-9jlnl" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
2m7s        Normal    Scheduled                      pod/115029258-burn-756969954-pstqq           Successfully assigned 115029258-hpa/115029258-burn-756969954-pstqq to 115029258-hpa-worker2
2m7s        Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 1 to 5
2m7s        Normal    Scheduled                      pod/115029258-burn-756969954-c2qrr           Successfully assigned 115029258-hpa/115029258-burn-756969954-c2qrr to 115029258-hpa-worker
