LAST SEEN   TYPE      REASON                         OBJECT                                       MESSAGE
60m         Normal    SandboxChanged                 pod/115029258-burn-756969954-m5fcn           Pod sandbox changed, it will be killed and re-created.
60m         Normal    Pulling                        pod/115029258-burn-756969954-m5fcn           Pulling image "icstyoningrum/115029258-burn:v1"
60m         Normal    Pulled                         pod/115029258-burn-756969954-m5fcn           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 801ms (801ms including waiting). Image size: 7942693 bytes.
60m         Normal    Started                        pod/115029258-burn-756969954-m5fcn           Container started
60m         Normal    Created                        pod/115029258-burn-756969954-m5fcn           Container created
59m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/115029258-burn-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
59m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/115029258-burn-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
42m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-9b5w2
42m         Normal    Scheduled                      pod/115029258-load-c6fwn                     Successfully assigned 115029258-hpa/115029258-load-c6fwn to 115029258-hpa-worker2
42m         Normal    Scheduled                      pod/115029258-load-9b5w2                     Successfully assigned 115029258-hpa/115029258-load-9b5w2 to 115029258-hpa-worker
42m         Normal    Scheduled                      pod/115029258-load-hdr4m                     Successfully assigned 115029258-hpa/115029258-load-hdr4m to 115029258-hpa-worker2
42m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-c6fwn
42m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-hdr4m
42m         Normal    Pulling                        pod/115029258-load-hdr4m                     Pulling image "busybox"
42m         Normal    Pulling                        pod/115029258-load-9b5w2                     Pulling image "busybox"
42m         Normal    Pulling                        pod/115029258-load-c6fwn                     Pulling image "busybox"
42m         Normal    Created                        pod/115029258-load-9b5w2                     Container created
42m         Normal    Pulled                         pod/115029258-load-9b5w2                     Successfully pulled image "busybox" in 2.082s (2.082s including waiting). Image size: 2236931 bytes.
42m         Normal    Created                        pod/115029258-load-hdr4m                     Container created
42m         Normal    Pulled                         pod/115029258-load-hdr4m                     Successfully pulled image "busybox" in 2.073s (2.073s including waiting). Image size: 2236931 bytes.
42m         Normal    Created                        pod/115029258-load-c6fwn                     Container created
42m         Normal    Pulled                         pod/115029258-load-c6fwn                     Successfully pulled image "busybox" in 423ms (2.479s including waiting). Image size: 2236931 bytes.
42m         Normal    Started                        pod/115029258-load-hdr4m                     Container started
42m         Normal    Started                        pod/115029258-load-c6fwn                     Container started
42m         Normal    Started                        pod/115029258-load-9b5w2                     Container started
42m         Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-2lj48
42m         Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-9zqwc
42m         Normal    Scheduled                      pod/115029258-burn-756969954-9zqwc           Successfully assigned 115029258-hpa/115029258-burn-756969954-9zqwc to 115029258-hpa-worker2
42m         Normal    Scheduled                      pod/115029258-burn-756969954-2lj48           Successfully assigned 115029258-hpa/115029258-burn-756969954-2lj48 to 115029258-hpa-worker
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-mwmb9" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-7cq9s" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-zmqjw" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-fswpq" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-rgp47" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-p22n6" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-tbl5r" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Normal    Pulling                        pod/115029258-burn-756969954-9zqwc           Pulling image "icstyoningrum/115029258-burn:v1"
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-7z65f" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-cw5tz" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
42m         Normal    Pulling                        pod/115029258-burn-756969954-2lj48           Pulling image "icstyoningrum/115029258-burn:v1"
42m         Normal    Pulled                         pod/115029258-burn-756969954-2lj48           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 477ms (477ms including waiting). Image size: 7942693 bytes.
42m         Normal    Created                        pod/115029258-burn-756969954-2lj48           Container created
42m         Normal    Started                        pod/115029258-burn-756969954-2lj48           Container started
42m         Normal    Started                        pod/115029258-burn-756969954-9zqwc           Container started
42m         Normal    Pulled                         pod/115029258-burn-756969954-9zqwc           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 2.25s (2.25s including waiting). Image size: 7942693 bytes.
42m         Normal    Created                        pod/115029258-burn-756969954-9zqwc           Container created
35m         Normal    Killing                        pod/115029258-load-9b5w2                     Stopping container load-generator
35m         Normal    Killing                        pod/115029258-load-c6fwn                     Stopping container load-generator
35m         Normal    Killing                        pod/115029258-load-hdr4m                     Stopping container load-generator
34m         Normal    Killing                        pod/115029258-burn-756969954-2lj48           Stopping container burn-app
34m         Normal    Killing                        pod/115029258-burn-756969954-m5fcn           Stopping container burn-app
34m         Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled down replica set 115029258-burn-756969954 from 10 to 1
34m         Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-m5fcn
34m         Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-2lj48
14m         Normal    Scheduled                      pod/115029258-load-xfj7q                     Successfully assigned 115029258-hpa/115029258-load-xfj7q to 115029258-hpa-worker
14m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-c7gqw
14m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-xfj7q
14m         Normal    SuccessfulCreate               job/115029258-load                           Created pod: 115029258-load-7zfq7
14m         Normal    Scheduled                      pod/115029258-load-7zfq7                     Successfully assigned 115029258-hpa/115029258-load-7zfq7 to 115029258-hpa-worker
14m         Normal    Scheduled                      pod/115029258-load-c7gqw                     Successfully assigned 115029258-hpa/115029258-load-c7gqw to 115029258-hpa-worker2
14m         Normal    Pulling                        pod/115029258-load-7zfq7                     Pulling image "busybox"
14m         Normal    Pulling                        pod/115029258-load-xfj7q                     Pulling image "busybox"
14m         Normal    Pulling                        pod/115029258-load-c7gqw                     Pulling image "busybox"
14m         Normal    Pulled                         pod/115029258-load-xfj7q                     Successfully pulled image "busybox" in 382ms (832ms including waiting). Image size: 2236931 bytes.
14m         Normal    Pulled                         pod/115029258-load-c7gqw                     Successfully pulled image "busybox" in 508ms (508ms including waiting). Image size: 2236931 bytes.
14m         Normal    Created                        pod/115029258-load-c7gqw                     Container created
14m         Normal    Started                        pod/115029258-load-c7gqw                     Container started
14m         Normal    Created                        pod/115029258-load-xfj7q                     Container created
14m         Normal    Started                        pod/115029258-load-7zfq7                     Container started
14m         Normal    Created                        pod/115029258-load-7zfq7                     Container created
14m         Normal    Pulled                         pod/115029258-load-7zfq7                     Successfully pulled image "busybox" in 511ms (511ms including waiting). Image size: 2236931 bytes.
14m         Normal    Started                        pod/115029258-load-xfj7q                     Container started
14m         Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-fbfs8
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-jklwd" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Normal    Scheduled                      pod/115029258-burn-756969954-76n7c           Successfully assigned 115029258-hpa/115029258-burn-756969954-76n7c to 115029258-hpa-worker
14m         Normal    Scheduled                      pod/115029258-burn-756969954-fbfs8           Successfully assigned 115029258-hpa/115029258-burn-756969954-fbfs8 to 115029258-hpa-worker
14m         Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 1 to 5
14m         Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 5; reason: cpu resource utilization (percentage of request) above target
14m         Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-76n7c
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-sgcw7" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-54np8" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Normal    Pulling                        pod/115029258-burn-756969954-fbfs8           Pulling image "icstyoningrum/115029258-burn:v1"
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          (combined from similar events): Error creating: pods "115029258-burn-756969954-g42hs" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Normal    Pulled                         pod/115029258-burn-756969954-fbfs8           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 439ms (439ms including waiting). Image size: 7942693 bytes.
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-h7tk9" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-pw8gr" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-rzms7" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Normal    Pulling                        pod/115029258-burn-756969954-76n7c           Pulling image "icstyoningrum/115029258-burn:v1"
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-hnzbj" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-cm8xk" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Warning   FailedCreate                   replicaset/115029258-burn-756969954          Error creating: pods "115029258-burn-756969954-n5s88" is forbidden: exceeded quota: 115029258-quota, requested: pods=1, used: pods=6, limited: pods=6
14m         Normal    Created                        pod/115029258-burn-756969954-76n7c           Container created
14m         Normal    Created                        pod/115029258-burn-756969954-fbfs8           Container created
14m         Normal    Started                        pod/115029258-burn-756969954-76n7c           Container started
14m         Normal    Started                        pod/115029258-burn-756969954-fbfs8           Container started
14m         Normal    Pulled                         pod/115029258-burn-756969954-76n7c           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 407ms (822ms including waiting). Image size: 7942693 bytes.
13m         Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
13m         Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled up replica set 115029258-burn-756969954 from 5 to 10
6m26s       Normal    Killing                        pod/115029258-load-7zfq7                     Stopping container load-generator
6m26s       Normal    Killing                        pod/115029258-load-c7gqw                     Stopping container load-generator
6m26s       Normal    Killing                        pod/115029258-load-xfj7q                     Stopping container load-generator
4m48s       Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-t45d8
4m48s       Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 5; reason: All metrics below target
4m48s       Normal    Scheduled                      pod/115029258-burn-756969954-t45d8           Successfully assigned 115029258-hpa/115029258-burn-756969954-t45d8 to 115029258-hpa-worker
4m48s       Normal    SuccessfulCreate               replicaset/115029258-burn-756969954          Created pod: 115029258-burn-756969954-56mmw
4m48s       Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled down replica set 115029258-burn-756969954 from 10 to 5
4m48s       Normal    Scheduled                      pod/115029258-burn-756969954-56mmw           Successfully assigned 115029258-hpa/115029258-burn-756969954-56mmw to 115029258-hpa-worker2
4m47s       Normal    Pulled                         pod/115029258-burn-756969954-t45d8           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 543ms (543ms including waiting). Image size: 7942693 bytes.
4m47s       Normal    Created                        pod/115029258-burn-756969954-t45d8           Container created
4m47s       Normal    Pulling                        pod/115029258-burn-756969954-t45d8           Pulling image "icstyoningrum/115029258-burn:v1"
4m47s       Normal    Pulling                        pod/115029258-burn-756969954-56mmw           Pulling image "icstyoningrum/115029258-burn:v1"
4m47s       Normal    Pulled                         pod/115029258-burn-756969954-56mmw           Successfully pulled image "icstyoningrum/115029258-burn:v1" in 510ms (510ms including waiting). Image size: 7942693 bytes.
4m47s       Normal    Created                        pod/115029258-burn-756969954-56mmw           Container created
4m46s       Normal    Started                        pod/115029258-burn-756969954-t45d8           Container started
4m46s       Normal    Started                        pod/115029258-burn-756969954-56mmw           Container started
4m33s       Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-t45d8
4m33s       Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 4; reason: All metrics below target
4m33s       Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled down replica set 115029258-burn-756969954 from 5 to 4
4m33s       Normal    Killing                        pod/115029258-burn-756969954-t45d8           Stopping container burn-app
3m33s       Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-56mmw
3m33s       Normal    Killing                        pod/115029258-burn-756969954-56mmw           Stopping container burn-app
3m33s       Normal    Killing                        pod/115029258-burn-756969954-76n7c           Stopping container burn-app
3m33s       Normal    Killing                        pod/115029258-burn-756969954-fbfs8           Stopping container burn-app
3m33s       Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-76n7c
3m33s       Normal    SuccessfulRescale              horizontalpodautoscaler/115029258-burn-hpa   New size: 1; reason: All metrics below target
3m33s       Normal    SuccessfulDelete               replicaset/115029258-burn-756969954          Deleted pod: 115029258-burn-756969954-fbfs8
3m33s       Normal    ScalingReplicaSet              deployment/115029258-burn                    Scaled down replica set 115029258-burn-756969954 from 4 to 1
